day,cx
2019-09-01,1075.1559
2019-09-02,358.8941
2019-09-03,334.73083
2019-09-04,282.44333
2019-09-05,254.12944
2019-09-06,716.32385
2019-09-07,1070.5656
2019-09-08,575.1602
2019-09-09,116.34373
2019-09-10,121.99361
2019-09-11,92.79165
2019-09-12,108.41667
2019-09-13,571.1915
2019-09-14,827.6842
2019-09-15,542.00024
2019-09-16,168.61272
2019-09-17,498.03952
2019-09-18,473.85284
2019-09-19,482.04486
2019-09-20,474.8273
2019-09-21,975.6051
2019-09-22,767.7518
2019-09-23,77.042564
2019-09-24,92.9505
2019-09-25,118.94164
2019-09-26,131.39124
2019-09-27,228.32828
2019-09-28,690.7922
2019-09-29,1246.5614
2019-09-30,131.60907
2019-10-01,188.46298
2019-10-02,287.43536
2019-10-03,697.84485
2019-10-04,585.5519
2019-10-05,775.0436
2019-10-06,252.70995
2019-10-07,92.49976
2019-10-08,108.18484
2019-10-09,154.54831
2019-10-10,123.11024
2019-10-11,197.19057
2019-10-12,549.4007
2019-10-13,332.48392
2019-10-14,122.11436
2019-10-15,138.52968
2019-10-16,143.03171
2019-10-17,153.55537
2019-10-18,248.80182
2019-10-19,345.29956
2019-10-20,695.02106
2019-10-21,317.23257
2019-10-22,338.73346
2019-10-23,145.64764
2019-10-24,120.53693
2019-10-25,178.84789
2019-10-26,469.54703
2019-10-27,268.1469
2019-10-28,92.75676
2019-10-29,116.06171
2019-10-30,628.4038
2019-10-31,208.12282
2019-11-01,470.95093
2019-11-02,712.2217
2019-11-03,527.57153
2019-11-04,90.74608
2019-11-05,360.0495
2019-11-06,234.34766
2019-11-07,169.6666
2019-11-08,397.10666
2019-11-09,879.36957
2019-11-10,776.57434
2019-11-11,281.9807
2019-11-12,107.67858
2019-11-13,431.45645
2019-11-14,975.5442
2019-11-15,803.3649
2019-11-16,371.4997
2019-11-17,374.2935
2019-11-18,79.19314
2019-11-19,230.02531
2019-11-20,306.9818
2019-11-21,363.41833
2019-11-22,530.76575
2019-11-23,496.8939
2019-11-24,354.5456
2019-11-25,131.6802
2019-11-26,580.2997
2019-11-27,392.91367
2019-11-28,155.19402
2019-11-29,678.1417
2019-11-30,679.0609
2019-12-01,429.5286
2019-12-02,119.407646
2019-12-03,263.3075
2019-12-04,266.20517
2019-12-05,271.8031
2019-12-06,278.41434
2019-12-07,656.12683
2019-12-08,410.30905
2019-12-09,88.521454
2019-12-10,322.4849
2019-12-11,105.487076
2019-12-12,159.0403
2019-12-13,504.71954
2019-12-14,516.1752
2019-12-15,286.78168
2019-12-16,75.08085
2019-12-17,91.228905
2019-12-18,121.089424
2019-12-19,108.59482
2019-12-20,211.24533
2019-12-21,289.535
2019-12-22,455.39362
2019-12-23,152.0443
2019-12-24,79.72587
2019-12-25,252.31471
2019-12-26,228.17369
2019-12-27,147.25873
2019-12-28,392.68222
2019-12-29,299.99612
2019-12-30,252.58582
2019-12-31,345.59174
2020-01-01,216.44992
2020-01-02,67.57921
2020-01-03,205.28842
2020-01-04,209.75304
2020-01-05,238.43765
2020-01-06,111.68642
2020-01-07,59.305027
2020-01-08,77.09033
2020-01-09,85.1991
2020-01-10,137.95554
2020-01-11,431.16656
2020-01-12,323.86987
2020-01-13,83.99648
2020-01-14,92.002716
2020-01-15,109.67397
2020-01-16,85.21888
2020-01-17,264.57333
2020-01-18,908.043
2020-01-19,397.31082
2020-01-20,88.276024
2020-01-21,114.2067
2020-01-22,99.38253
2020-01-23,208.95972
2020-01-24,445.35764
2020-01-25,823.21014
2020-01-26,340.94968
2020-01-27,69.10397
2020-01-28,80.11454
2020-01-29,119.6397
2020-01-30,129.70209
2020-01-31,303.93625
2020-02-01,434.51752
2020-02-02,375.1508
2020-02-03,217.25784
2020-02-04,88.89273
2020-02-05,81.94796
2020-02-06,238.09464
2020-02-07,260.3416
2020-02-08,874.7466
2020-02-09,429.33527
2020-02-10,79.657036
2020-02-11,387.29022
2020-02-12,130.88396
2020-02-13,376.4563
2020-02-14,465.99402
2020-02-15,1077.7307
2020-02-16,2161.5508
2020-02-17,137.77568
2020-02-18,617.5874
2020-02-19,324.85373
2020-02-20,383.20734
2020-02-21,331.8674
2020-02-22,886.73724
2020-02-23,865.18677
2020-02-24,161.06628
2020-02-25,145.2552
2020-02-26,117.02782
2020-02-27,80.76897
2020-02-28,175.73323
2020-02-29,419.16116
2020-03-01,508.91626
2020-03-02,71.6409
2020-03-03,110.70235
2020-03-04,101.230316
2020-03-05,423.27765
2020-03-06,392.9287
2020-03-07,341.7769
2020-03-08,344.60022
2020-03-09,57.65443
2020-03-10,92.130135
